Date;Time;
15/01/1995;01:22:20;
15/01/1995;01:22:30;
15/01/1995;01:22:40;
15/01/1995;01:22:50;
15/01/1995;01:23:00;
15/01/1995;01:23:10;
15/01/1995;01:23:20;
15/01/1995;01:23:30;
15/01/1995;01:23:40;
15/01/1995;01:23:50;
15/01/1995;01:24:00;
15/01/1995;01:24:10;
15/01/1995;01:24:20;
15/01/1995;01:24:30;
15/01/1995;01:24:40;
15/01/1995;01:24:50;
15/01/1995;01:25:00;
15/01/1995;01:25:10;
15/01/1995;01:25:20;
15/01/1995;01:25:30;
15/01/1995;01:25:40;
15/01/1995;01:25:50;
15/01/1995;01:26:00;
15/01/1995;01:26:10;
15/01/1995;01:26:20;
15/01/1995;01:26:30;
15/01/1995;01:26:40;
15/01/1995;01:26:50;
15/01/1995;01:27:00;
15/01/1995;01:27:10;
15/01/1995;01:27:20;
15/01/1995;01:27:30;
15/01/1995;01:27:40;
15/01/1995;01:27:50;
15/01/1995;01:28:00;
15/01/1995;01:28:10;
15/01/1995;01:28:20;
15/01/1995;01:28:30;
15/01/1995;01:28:40;
15/01/1995;01:28:50;
15/01/1995;01:29:00;
15/01/1995;01:29:10;
15/01/1995;01:29:20;
15/01/1995;01:29:30;
15/01/1995;01:29:40;
15/01/1995;01:29:50;
15/01/1995;01:30:00;
15/01/1995;01:30:10;
15/01/1995;01:30:20;
15/01/1995;01:30:30;
15/01/1995;01:30:40;
15/01/1995;01:30:50;
15/01/1995;01:31:00;
15/01/1995;01:31:10;
15/01/1995;01:31:20;
15/01/1995;01:31:30;
15/01/1995;01:31:40;
15/01/1995;01:31:50;
15/01/1995;01:32:00;
15/01/1995;01:32:10;
15/01/1995;01:32:20;
15/01/1995;01:32:30;
15/01/1995;01:32:40;
15/01/1995;01:32:50;
15/01/1995;01:33:00;
15/01/1995;01:33:10;
15/01/1995;01:33:20;
15/01/1995;01:33:30;
15/01/1995;01:33:40;
15/01/1995;01:33:50;
15/01/1995;01:34:00;
15/01/1995;01:34:10;
15/01/1995;01:34:20;
15/01/1995;01:34:30;
